id	name	sumary	desciption	rating	reviewCount	popularity	tags	openTime	closeTime	priceVND	houseNumber	street	   ward	district	city	Tọa độ	URL	phone	Img name	dwell	Img url
1	Hồ Ô Thum	Nổi tiếng với đặc sản gà đốt.	Hồ nước yên bình dưới chân núi Cô Tô, điểm đến lý tưởng để thưởng thức món gà đốt lá chúc trứ danh của người Khmer.	4.2	1100	83	Ẩm thực	07:00	17:00	0	NULL	Ô Thum	Xã Ô Lâm	H. Tri Tôn	An Giang	10.373765332178829, 104.97551188709379	https://www.google.com/maps/place/H%E1%BB%93+%C3%94+Thum/@10.3738214,104.9750747,19.29z/data=!4m6!3m5!1s0x3109f922e79179f5:0x6d5d0b89b6eb9f12!8m2!3d10.3737224!4d104.9754522!16s%2Fg%2F11fy_4x_xw?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	ho-o-thum-ga-dot.jpg	90	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSG9KRvO7tk9JJp9o-yQ6Br07_-wtXyAkGDuup4Mg5dSAkEjU1mNFnKOj09mUds
2	Hồ Tà Pạ	Tuyệt tình cốc của miền Tây.	Hồ nước nhân tạo hình thành từ khai thác đá, nước xanh ngọc bích trong vắt nhìn thấy đáy, bao quanh là núi non hùng vĩ.	4.4	500	86	Check-in	00:00	23:59	0	NULL	Núi Tô	Xã Núi Tô	H. Tri Tôn	An Giang	10.413610279788195, 104.98959068343412	https://www.google.com/maps/place/H%E1%BB%93+%C4%90%C3%A1+%C4%90%E1%BB%93i+T%C3%A0+P%E1%BA%A1/@10.4137698,104.9886192,18.78z/data=!4m10!1m2!2m1!1zSOG7kyBUw6AgUOG6oQ!3m6!1s0x3109f84c7ff0cca9:0x66de19436e8705f3!8m2!3d10.4135479!4d104.9895143!15sCg1I4buTIFTDoCBQ4bqhWg8iDWjhu5MgdMOgIHDhuqGSAQtzY2VuaWNfc3BvdJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVOSmFYVXpPRXAzRUFF4AEA-gEECG8QOQ!16s%2Fg%2F1th5x7k0?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	ho-ta-pa.jpg	90	https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcS0DmuPdFq499M1Zr4MwCpOnQBAlGgsFuvvBRqgBBsZIc-au9kSwRK1oUdsIbyULpgEHIMZxgob7P0WHil3fPc517sadD9K4qRq2LVBtOGEE_7tWW0
3	Cánh đồng thốt nốt Tịnh Biên	Biểu tượng của vùng Bảy Núi.	Những hàng thốt nốt cao vút vươn lên giữa cánh đồng lúa, đẹp nhất vào mùa nước nổi hoặc lúc hoàng hôn buông xuống.	4.6	900	86	Check-in	05:00	18:00	0	NULL	An Phú	Xã An Phú	TX. Tịnh Biên	An Giang	10.54181038700301, 105.01868649324283	https://www.google.com/maps/place/C%C3%A1nh+%C4%91%E1%BB%93ng+Th%E1%BB%91t+N%E1%BB%91t+-+V%C4%A9nh+Trung+-+An+Giang/@10.5419239,105.0177609,18.27z/data=!4m6!3m5!1s0x3109f54234a50fbd:0x9ba12c3a359930b0!8m2!3d10.5417282!4d105.0184884!16s%2Fg%2F11h7xdhg6v?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	canh-dong-thot-not.jpg	30	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR0MoonRzS_bLHSpGKrMduiBU4BxRhYhazUxt2gavXAAkV8LM18F3Cb8G5LE9VX
4	Chùa Lầu (Phước Lâm Tự)	Tiểu Nhật Bản giữa lòng An Giang.	Ngôi chùa có kiến trúc xếp tầng độc đáo, sơn màu đỏ rực rỡ và khuôn viên trồng nhiều hoa, cây cảnh đẹp mắt.	4.3	1300	85	Check-in	07:00	17:00	0	NULL	Khóm Xuân Phú	TT. Tịnh Biên	TX. Tịnh Biên	An Giang	10.608212927262047, 104.96029835720219	https://www.google.com/maps/place/Ph%C6%B0%E1%BB%9Bc+L%C3%A2m+Pagoda/@10.60833,104.9597123,18.53z/data=!4m6!3m5!1s0x3109f4b7f3e98e7d:0xdf8c7d1b0d8680fb!8m2!3d10.6081247!4d104.9601727!16s%2Fg%2F11dx9g6mxf?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	chua-lau-tinh-bien.jpg	45	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQRywa0PmMA6dNC6-yGIuipB88qJqvA4sEVy6TFWQWwQuAbRN5PjmnywR2Tkv84
5	Lăng Thoại Ngọc Hầu	Di tích lịch sử cấp quốc gia.	Nơi an nghỉ của danh thần Thoại Ngọc Hầu, người có công khai phá vùng đất An Giang và đào kênh Vĩnh Tế.	4.5	1200	85	Di tích	07:00	17:00	0	NULL	QL91	Phường Núi Sam	TP. Châu Đốc	An Giang	10.68202307499008, 105.07920648324571	https://www.google.com/maps/place/Thoai+Ngoc+Hau+Mausoleum/@10.6817354,105.0789568,19.04z/data=!4m6!3m5!1s0x310a20df59b0e9f9:0x86b04c4164b8f1ca!8m2!3d10.6819583!4d105.0790901!16s%2Fg%2F122q9vdm?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	lang-thoai-ngoc-hau.jpg	45	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTL1WjFxKIJpn7Za16rMzkpPaRSQEsyCaEroT3UsKHsgIfhx1yCT9P5oG4Xj9No
6	Chợ Châu Đốc	Vương quốc mắm miền Tây.	Khu chợ sầm uất nổi tiếng với hàng trăm loại mắm, khô cá và các đặc sản biên giới như đường thốt nốt, me thái.	4.1	2500	95	Mua sắm	06:00	18:00	0	NULL	Bạch Đằng	Phường Châu Phú A	TP. Châu Đốc	An Giang	10.710815355608785, 105.11850065446257	https://www.google.com/maps/place/Ch%C3%A2u+%C4%90%E1%BB%91c+Market/@10.710787,105.1182281,21z/data=!4m10!1m2!2m1!1zQ2jhu6MgQ2jDonUgxJDhu5Fj!3m6!1s0x310a279a7d0bef81:0x3b6e77884c5af5df!8m2!3d10.7108015!4d105.118476!15sChJDaOG7oyBDaMOidSDEkOG7kWOSAQZtYXJrZXTgAQA!16s%2Fg%2F11sgdgvqmj?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	cho-chau-doc.jpg	60	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSZX_pPK0zAl-4E2u0XrTPAovWZhfz1RS-oJQEmXw4HUObYsfIXUmbCumO4ycMX
7	Victoria Nui Sam Lodge	Đài vọng cảnh đẹp nhất Châu Đốc.	Khu nghỉ dưỡng có bệ đá nhô ra núi (viewpoint) nhìn toàn cảnh cánh đồng lúa An Giang đẹp như tranh vẽ.	4.6	800	82	Ngắm cảnh	07:00	22:00	0	NULL	Vĩnh Đông 1	Phường Núi Sam	TP. Châu Đốc	An Giang	10.671276057110834, 105.07753361861477	https://www.google.com/maps/place/Victoria+Nui+Sam+Lodge/@10.6711167,105.0768949,19.29z/data=!4m9!3m8!1s0x310a20e23dad4cdf:0xda83d5a2d5b5bfea!5m2!4m1!1i2!8m2!3d10.6712159!4d105.0774452!16s%2Fg%2F1pp2x92j9?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	2963575888	victoria-nui-sam.jpg	60	https://lh3.googleusercontent.com/p/AF1QipNmiMdR31BpciYdMmrvyiRpaqCn95vo-8d4irm1=s1360-w1360-h1020-rw
8	Rừng tràm Trà Sư	Hệ sinh thái rừng ngập nước tuyệt đẹp.	Thiên đường xanh với thảm bèo tấm phủ kín mặt nước, du khách đi xuồng ba lá len lỏi giữa rừng tràm tĩnh lặng.	4.3	142	88	Sinh thái	07:00	17:15	100000	NULL	Lạc Quới	Xã Văn Giáo	TX. Tịnh Biên	An Giang	10.585182699894782, 105.05791517646543	https://maps.app.goo.gl/EYtcrC33HLDNZ2Mg7	02966502299	rung-tram-tra-su.jpg	120	https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcR2_QZw7067wsf2ISP3bHUFT0__0VRYILKuSMj4CoETiva_i5Zh3TLFHBwRKDXEjYMf2Ss6HnfL0oqLZm7f3XVBkAT8z5gJ_PiFiJD0p3sBjYr1mOU
9	Miếu Bà Chúa Xứ	Điểm du lịch tâm linh nổi tiếng nhất miền Tây.	Tọa lạc dưới chân núi Sam, nơi đây thu hút hàng triệu khách hành hương mỗi năm, nổi tiếng với lễ hội Vía Bà chúa Xứ linh thiêng.	4.7	862	100	Tâm linh	00:00	23:59	0	NULL	Lê Lợi	Phường Núi Sam	TP. Châu Đốc	An Giang	10.968628126815418, 106.8001986949716	https://maps.app.goo.gl/y5Um1TytjwTAABBN6	NULL	mieu-ba-chua-xu.jpg	60	https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcQyqBslQZBSbNQdlCI9YsMpu4t7r61Q8CzKu85CVEMFt0tLaj7zFpGx9Hp5R9l5eQuww2fRI1bwrBhfDC79jcUtpas7w_OKX3VcKB4vpcKEOxgvHfA
10	KDL Núi Cấm	Nóc nhà của miền Tây.	Quần thể du lịch trên núi với khí hậu mát mẻ, có tượng Phật Di Lặc lớn nhất châu Á, hồ Thủy Liêm và hệ thống cáp treo hiện đại.	4.5	3200	94	Tham quan	07:00	17:00	200000	NULL	An Hảo	Xã An Hảo	TX. Tịnh Biên	An Giang	10.48877689694178, 105.02251749769398	https://www.google.com/maps/place/Khu+du+l%E1%BB%8Bch+N%C3%BAi+C%E1%BA%A5m/@10.4889069,105.0222762,20.82z/data=!4m10!1m2!2m1!1zS0RMIE7DumkgQ-G6pW0!3m6!1s0x3109f72f6ad6d88d:0x9e7e6bad3465e199!8m2!3d10.4887607!4d105.0224856!15sCg5LREwgTsO6aSBD4bqlbVoQIg5rZGwgbsO6aSBj4bqlbZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydFNURll3YnpST1JURkVUbFJPVDFWV1NqVlRXR2haVG1wT1JHTkhZeEFC4AEA-gEFCPoHEDk!16s%2Fg%2F11kj_5kv1_?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	kdl-nui-cam.jpg	240	https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSurNjbKCyTad4IOvYku5BiisUzAxB12fhFTSbXxrd0LDD3JlWrpqWTJqTDFmxSYF4GHI-bFu6wrOhYXStJ8nk-EaZnp-M7Vf32vifU0k1-mMAaGIc
