name	priveVnd	summary	description	openTime	closeTime	phone	rating	reviewCount	populartity	imageName	tags	houseNumber	street	ward	district	city	lat, long	url
Hoàng Thành Thăng Long	100.000 VND	Di tích Lịch sử	Khu di tích lịch sử và khảo cổ quan trọng nhất tại Việt Nam. Từng là kinh đô của đất nước qua nhiều triều đại, được UNESCO công nhận là Di sản Thế giới.	08:00	17:00	02437345427	4.4	17611	79	hoang_thanh_thang_long.png	Lịch sử, Văn hóa	19c	Hoàng Diệu	Điện Biên	Ba Đình	Hà Nội	21.0353282925516,105.840296387483	Imperial Citadel of Thang Long
Văn Miếu - Quốc Tử Giám	70.000 VNĐ	Di tích Lịch sử	Quần thể di tích lịch sử và văn hóa, là trường đại học quốc gia đầu tiên của Việt Nam. Nơi đây lưu giữ 82 bia đá ghi tên các Tiến sĩ từ các kỳ thi thời phong kiến.	07:30	17:00	None	4.6	20488	48	van_mieu_quoc_tu_giam.png	Lịch sử, Văn hóa	58	Quốc Tử Giám	Văn Miếu	Đống Đa	Hà Nội	21.0284565765098,105.835713699443	Temple Of Literature
Cột cờ Hà Nội	20.000 VNĐ	Di tích Lịch sử	Công trình kiến trúc cổ kính nằm trong khuôn viên Bảo tàng Lịch sử Quân sự Việt Nam, được xây dựng năm 1812 dưới thời nhà Nguyễn, là biểu tượng của Hà Nội.	08:00	17:00	02437345427	4.5	2123	85	cot_co_ha_noi.png	Lịch sử, Kiến trúc	28A	Điện Biên Phủ	Điện Biên	Ba Đình	Hà Nội	21.0327057912222,105.839750251962	Hanoi Flagtower
Vườn Thú Hà Nội	50.000 VNĐ	Công viên giải trí	Vườn bách thú lớn, nơi sinh sống của nhiều loài động thực vật, là khu vực giải trí cho gia đình và giáo dục về tự nhiên, nằm gần công viên Thủ Lệ.	06:00	22:00	02438347395	4.1	17325	82	vuon_thu_ha_noi.png	Giải trí, Thiên nhiên		Đ. Bưởi	Giảng Võ	Ba Đình	Hà Nội	21.0312488209791,105.803753924975	Hanoi Zoo
Khu Phố Cổ Hà Nội	0	Văn hóa	Khu vực lịch sử với kiến trúc và nếp sống "36 phố phường" đặc trưng của Hà Nội. Đây là nơi tập trung các nghề thủ công truyền thống, các ngôi nhà cổ kính và ẩm thực đường phố.	24/24	24/24	None	4.6	8545	40	khu_pho_co_ha_noi.png	Văn hóa, Giải trí		Hàng Ngang - Hàng Đào	Hàng Đào	Hoàn Kiếm	Hà Nội	21.0341891812129,105.850583155825	Hanoi Old Quarter
Lăng Chủ tịch Hồ Chí Minh	0	Di tích Lịch sử	Công trình kiến trúc lớn và trang nghiêm, nơi lưu giữ và bảo quản thi hài của Chủ tịch Hồ Chí Minh. Đây là trung tâm chính trị và tâm linh quan trọng, thu hút hàng triệu lượt khách ghé thăm.	07:30	11:30	None	4.5	19698	73	lang_chu_tich_ho_chi_minh.png	Lịch sử, Văn hóa	1	Hùng Vương	Điện Biên	Ba Đình	Hà Nội	21.0370475062201,105.83468815767	Ho Chi Minh's Mausoleum
 Di tích Nhà tù Hỏa Lò	50.000 VNĐ	Di tích Lịch sử	Khu di tích lịch sử nổi tiếng, từng là một trong những nhà tù lớn và kiên cố nhất của thực dân Pháp ở Đông Dương. Nơi đây trưng bày các hiện vật tái hiện lại tinh thần đấu tranh bất khuất của các chiến sĩ cách mạng.	08:00	17:00	0825112668	4.5	19977	92	nha_tu_hoa_lo.png	Lịch sử, Văn hóa	1	P. Hoả Lò	Trần Hưng Đạo	Hoàn Kiếm	Hà Nội	21.02549493966,105.846665854631	Hoa Lo Prison
Chùa Một Cột	0	Di tích Lịch sử	Ngôi chùa có kiến trúc độc đáo, được xây dựng từ thế kỷ 11. Chùa được thiết kế theo hình một đóa hoa sen mọc lên từ mặt nước, tượng trưng cho sự thanh khiết.	07:00	18:00	None	4.3	9827	88	chua_mot_cot.png	Tâm linh, Kiến trúc		P. Chùa Một Cột	Đội Cấn	Ba Đình	Hà Nội	21.0359278318311,105.8334375	One Pillar Pagoda
Bảo tàng Dân tộc học Việt Nam	40.000 VNĐ	Văn hóa	Bảo tàng trưng bày và giới thiệu sâu rộng về văn hóa và tập quán sinh hoạt của 54 dân tộc Việt Nam. Có khu ngoài trời tái hiện kiến trúc nhà ở truyền thống.	08:30	17:30	02437562193	4.6	14287	69	bao_tang_dan_toc_hoc_viet_nam.png	Văn hóa, Lịch sử		Nguyễn Văn Huyên	Quan Hoa	Cầu Giấy	Hà Nội	21.0404723757223,105.798628132047	Vietnam Museum of Ethnology
Hồ Tây	0	Khu vui chơi, giải trí	Hồ nước tự nhiên lớn nhất và lãng mạn nhất tại Hà Nội. Hồ Tây là trung tâm cảnh quan và văn hóa, xung quanh có nhiều di tích nổi tiếng như chùa Trấn Quốc, phủ Tây Hồ.	24/24	24/24	None	4.7	5441	85	ho_tay.png	Thiên nhiên, Giải trí				Tây Hồ	Hà Nội	21.0544275169237,105.825195190878	West Lake
